Name,Author,User Rating,Reviews,Year,Genre,Price
1,1,4.2,3,2009,Fiction,
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,2009,Non Fiction,17.0
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,2009,Non Fiction,5.0
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,2009,Fiction,13.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,2009,Non Fiction,14.0
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,2009,Fiction,4.0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,2009,Fiction,15.0
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,2009,Non Fiction,6.0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,2009,Fiction,12.0
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,2009,Non Fiction,1.0
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,2009,Non Fiction,14.0
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,2009,Fiction,7.0
Eclipse (Twilight),Stephenie Meyer,4.7,5505,2009,Fiction,18.0
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,2009,Non Fiction,11.0
Going Rogue: An American Life,Sarah Palin,4.6,1636,2009,Non Fiction,6.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,2009,Non Fiction,14.0
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,2009,Non Fiction,4.0
"I, Alex Cross",James Patterson,4.6,1320,2009,Fiction,7.0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,2009,Non Fiction,15.0
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,2009,Non Fiction,27.0
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,2009,Fiction,10.0
Olive Kitteridge,Elizabeth Strout,4.2,4519,2009,Fiction,12.0
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,2009,Non Fiction,20.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,2009,Non Fiction,46.0
Sookie Stackhouse,Charlaine Harris,4.7,973,2009,Fiction,25.0
StrengthsFinder 2.0,Gallup,4.0,5069,2009,Non Fiction,17.0
